product_id,product_hs92_code,year,export_value,import_value,pci
1058,3601,1995,139695221,139695221,0.936
1059,3602,1995,234863070,234863070,-0.512
1060,3603,1995,302017253,302017253,-0.124
1061,3604,1995,397183328,397183328,-0.581
1062,3605,1995,146108085,146108085,-1.063
1063,3606,1995,153735264,153735264,0.767
1064,3701,1995,3987947610,3987947610,1.635
1065,3702,1995,5917857345,5917857345,0.96
1066,3703,1995,2961020992,2961020992,1.293
1067,3704,1995,104330920,104330920,-0.472
1068,3705,1995,419132254,419132254,1.502
1069,3706,1995,300675942,300675942,-0.525
1070,3707,1995,3843363796,3843363796,1.51
1071,3801,1995,598223486,598223486,0.612
1072,3802,1995,688245476,688245476,0.036
1073,3803,1995,83382219,83382219,0.988
1074,3804,1995,138059769,138059769,0.856
1075,3805,1995,89049879,89049879,-0.56
1076,3806,1995,754042561,754042561,-0.136
1077,3807,1995,35735950,35735950,0.09
1078,3808,1995,9948054530,9948054530,-0.165
1079,3809,1995,1637485670,1637485670,0.933
1080,3810,1995,437861124,437861124,1.234
1081,3811,1995,4628146078,4628146078,1.693
1082,3812,1995,1691686816,1691686816,0.574
1083,3813,1995,113520055,113520055,1.015
1084,3814,1995,500157072,500157072,0.363
1085,3815,1995,3222458532,3222458532,1.63
1086,3816,1995,759411341,759411341,1.218
1087,3817,1995,700304062,700304062,0.417
1088,3818,1995,3207392644,3207392644,1.645
1089,3819,1995,241963207,241963207,0.386
1090,3820,1995,309575929,309575929,0.754
1091,3821,1995,302122397,302122397,1.541
1092,3822,1995,3834581285,3834581285,2.175
1093,3823,1995,10370441081,10370441081,1.415
1094,3901,1995,16065598470,16065598470,0.139
1095,3902,1995,8757985495,8757985495,0.504
1096,3903,1995,11717847059,11717847059,0.485
1097,3904,1995,7644304335,7644304335,0.385
1098,3905,1995,1932661790,1932661790,1.221
1099,3906,1995,3735562847,3735562847,1.134
1100,3907,1995,15977122886,15977122886,0.741
1101,3908,1995,3774115455,3774115455,1.522
1102,3909,1995,3809059047,3809059047,1.242
1103,3910,1995,2158388121,2158388121,1.057
1104,3911,1995,3621694820,3621694820,2.339
1105,3912,1995,1910834669,1910834669,1.03
1106,3913,1995,561266647,561266647,0.022
1107,3914,1995,954912033,954912033,1.808
1108,3915,1995,1235682073,1235682073,-0.479
1109,3916,1995,1473343725,1473343725,1.022
1110,3917,1995,5300234325,5300234325,0.279
1111,3918,1995,1803799931,1803799931,0.864
1112,3919,1995,3976691858,3976691858,1.605
1113,3920,1995,17017327604,17017327604,1.203
1114,3921,1995,7406499510,7406499510,1.055
1115,3922,1995,1251283226,1251283226,0.651
1116,3923,1995,11931973548,11931973548,0.055
1117,3924,1995,3661032409,3661032409,-0.612
1118,3925,1995,2582347177,2582347177,0.716
1119,3926,1995,17193472800,17193472800,0.336
1120,4001,1995,7604639428,7604639428,-2.966
1121,4002,1995,6822737501,6822737501,0.559
1122,4003,1995,52083961,52083961,-0.612
1123,4004,1995,78625793,78625793,-0.354
1124,4005,1995,1322642988,1322642988,1.512
1125,4006,1995,257259594,257259594,-0.086
1126,4007,1995,272844337,272844337,-1.051
1127,4008,1995,1607311210,1607311210,0.723
1128,4009,1995,2802261075,2802261075,1.121
1129,4010,1995,2001965396,2001965396,0.831
1130,4011,1995,19901589762,19901589762,0.153
1131,4012,1995,921068863,921068863,0.014
1132,4013,1995,633171461,633171461,-0.634
1133,4014,1995,441572609,441572609,0.012
1134,4015,1995,1945394843,1945394843,-1.483
1135,4016,1995,6118341092,6118341092,0.949
1136,4017,1995,139231707,139231707,-0.029
1137,4101,1995,4171193770,4171193770,-1.489
1138,4102,1995,1175070167,1175070167,-1.833
1139,4103,1995,362226753,362226753,-1.918
1140,4104,1995,11338496556,11338496556,-1.238
1141,4105,1995,1665237838,1665237838,-1.653
1142,4106,1995,727039956,727039956,-1.875
1143,4107,1995,911938402,911938402,-0.895
1144,4108,1995,153071299,153071299,-0.184
1145,4109,1995,572728611,572728611,-1.316
1146,4110,1995,166978857,166978857,-0.731
1147,4111,1995,181476851,181476851,-0.455
1148,4201,1995,290427126,290427126,-0.511
1149,4202,1995,12301568280,12301568280,-1.194
1150,4203,1995,5632172241,5632172241,-1.115
1151,4204,1995,108640596,108640596,-0.516
1152,4205,1995,593284263,593284263,-0.953
1153,4206,1995,66297074,66297074,-0.671
1154,4301,1995,1158650187,1158650187,-0.681
1155,4302,1995,1247626027,1247626027,-0.098
1156,4303,1995,1114974336,1114974336,-0.353
1157,4304,1995,51342562,51342562,-0.383
1158,4401,1995,2235845538,2235845538,-1.067
1159,4402,1995,181843198,181843198,-1.505
1160,4403,1995,9865644039,9865644039,-2.045
1161,4404,1995,139322841,139322841,-1.199
1162,4405,1995,24577187,24577187,-0.566
1163,4406,1995,129242282,129242282,-1.144
1164,4407,1995,23012578400,23012578400,-1.375
